,variant,value
797,variant_a,0.1238
798,variant_a,0.0136
799,variant_a,0.1182
800,variant_a,0.0018
801,variant_a,0.0022
802,variant_a,0.0326
803,variant_a,0.1234
804,variant_a,0.1517
805,variant_a,0.0044
806,variant_a,0.0001
807,variant_a,0.0042
808,variant_a,0.0136
809,variant_a,0.0321
810,variant_a,0.0225
811,variant_a,0.0
812,variant_a,0.8786
813,variant_a,1.6042
814,variant_a,0.0
815,variant_a,0.0306
816,variant_a,0.0
817,variant_a,0.023
818,variant_a,1.9472
819,variant_a,0.0
820,variant_a,0.0253
821,variant_a,0.9048
822,variant_a,0.0139
823,variant_a,0.0364
824,variant_a,0.0767
825,variant_a,0.0346
826,variant_a,0.0001
827,variant_b,0.035
828,variant_b,0.0
829,variant_b,0.0227
830,variant_b,0.2235
831,variant_b,0.8553
832,variant_b,0.0291
833,variant_b,0.0272
834,variant_b,0.016
835,variant_b,0.0045
836,variant_b,0.0005
837,variant_b,0.4286
838,variant_b,0.0547
839,variant_b,0.0066
840,variant_b,0.0026
841,variant_b,0.0078
842,variant_b,1.1257
843,variant_b,0.0276
844,variant_b,0.0216
845,variant_b,0.3021
846,variant_b,0.0609
847,variant_b,0.0756
848,variant_b,0.0
849,variant_b,0.0011
850,variant_b,0.1596
851,variant_b,1.5681
852,variant_b,0.0918
853,variant_b,0.0
854,variant_b,0.802
855,variant_b,0.4836
856,variant_b,0.1139
857,variant_b,0.0183
858,variant_b,0.0029
859,variant_b,0.0003
860,variant_b,0.0067
861,variant_b,0.774
862,variant_b,0.0005
863,variant_b,0.0806
864,variant_b,0.062
865,variant_b,0.1313
866,variant_b,0.024
867,variant_b,0.0397
868,variant_b,0.0003
869,variant_b,0.4482
870,variant_b,0.014
871,variant_b,0.1604
872,variant_b,0.0263
873,variant_b,0.197
874,variant_b,0.0868
875,variant_b,0.1961
876,variant_b,0.5526
877,variant_b,0.0057
878,variant_b,0.1336
879,variant_b,0.0213
880,variant_b,0.0001
881,variant_b,0.0298
882,variant_b,0.0
883,variant_b,0.0051
884,variant_b,0.0006
885,variant_b,0.0056
886,variant_b,0.023
887,variant_b,0.0002
888,variant_b,0.0051
889,variant_b,0.0835
890,variant_b,0.0216
891,variant_b,0.5502
892,variant_b,0.1395
893,variant_b,0.0077
894,variant_b,0.0039
895,variant_b,0.3077
896,variant_b,0.0011
897,variant_b,0.321
898,variant_b,0.2426
899,variant_b,0.0002
900,variant_b,0.1273
901,variant_b,0.2619
902,variant_b,0.011
903,variant_b,0.0007
904,variant_b,0.6934
905,variant_b,0.005
906,variant_b,0.7051
907,variant_b,0.0
908,variant_b,0.0705
909,variant_b,0.0963
910,variant_b,0.0365
911,variant_b,0.2019
912,variant_b,0.0
913,variant_b,0.0347
914,variant_b,0.0029
915,variant_b,0.2005
916,variant_b,0.0174
917,variant_b,0.1283
918,variant_b,0.0007
919,variant_b,0.2751
920,variant_b,0.1884
921,variant_b,0.0
922,variant_b,0.0
923,variant_b,0.0175
924,variant_b,0.2169
925,variant_b,0.0111
926,variant_b,0.0174
927,variant_b,0.1081
928,variant_b,0.0097
929,variant_b,0.0033
930,variant_b,0.0289
931,variant_b,0.0
932,variant_b,0.0119
933,variant_b,0.0
934,variant_b,0.0
